Author;ID;PIDs;Keywords
Näslund, Mats;126;971284;hypervisor,isolation,assurance,formal verification,common criteria,armv8
Gehrmann, Christian;127;971284;hypervisor,isolation,assurance,formal verification,common criteria,armv8
Schwarz, Oliver;128;971284,968447,675835,762165,675843,968761,1368718;hypervisor,isolation,assurance,formal verification,common criteria,armv8,instruction set architectures,arm,mips,noninterference,information flow,theorem proving,hol4,formal verication,information flow security,separation kernel,hypervisor,peripheral devices,dma,separation,user mode execu- tion,arm,formal hardware/software co-verification,hol4,arm instruction set,user mode execution,kernel security,platform security,hypervisor,formal verification,theorem proving,hol4,dma,peripheral devices,instruction set architectures,isa,information flow,boot,decomposition,soc,armv8
Thorsen, Hans;129;971284;hypervisor,isolation,assurance,formal verification,common criteria,armv8
Fonteneau, Félix;ed20d29b-8c51-4d72-8a0f-65327f6f3abe;1699485;api,content driven api,rest,graphql,api test application,mobile applications,api,innehållsdriven api,rest,graphql,api testapplikation,mobilapplikationer
Barbette, Tom;130;1410769,1579775,1184756,1371780;load-balancer,cheetah,high-speed,connection consistency,pcc,p4,fastclick,elasticity,service chains,hardware offloading,accurate dispatching,100 gbe,load balancing,tagging,blackboxes,nfv,nfv,offloading,hardware dispatching,high performance,networking,load-balancing,packet scheduling,high-speed networking,intra-server load-balancing,receive side scaling,network function virtualization,rss++
Tang, Chen;131;1410769;load-balancer,cheetah,high-speed,connection consistency,pcc,p4,fastclick
Yao, Haoran;132;1410769;load-balancer,cheetah,high-speed,connection consistency,pcc,p4,fastclick
Kostic, Dejan;133;1410769,1499219,724935,1608645,1579775,1184756,867614,756406,1085916,1371780,867620,844010,785946;load-balancer,cheetah,high-speed,connection consistency,pcc,p4,fastclick,non-volatile memory,distributed storage,file systems,data centers,reliability,fault tolerance,scalability,software-dened networking,performance,update scheduling,cloud computing,distributed file systems,storage systems,operating systems,networking,elasticity,service chains,hardware offloading,accurate dispatching,100 gbe,load balancing,tagging,blackboxes,nfv,nfv,offloading,hardware dispatching,high performance,software-dened networking,reliability,openflow,key-value,distributed,storage,multiget,scheduling,load-balancing,packet scheduling,high-speed networking,intra-server load-balancing,receive side scaling,network function virtualization,rss++,geo-distributed systems,replica selection algorithms,symbolic execution
Maguire Jr., Gerald Q.;134;1410769,1579775,1184756,1371780,844010;load-balancer,cheetah,high-speed,connection consistency,pcc,p4,fastclick,elasticity,service chains,hardware offloading,accurate dispatching,100 gbe,load balancing,tagging,blackboxes,nfv,nfv,offloading,hardware dispatching,high performance,networking,load-balancing,packet scheduling,high-speed networking,intra-server load-balancing,receive side scaling,network function virtualization,rss++,geo-distributed systems,replica selection algorithms,symbolic execution
Papadimitratos, Panagiotis;135;1410769,909470,1210501;load-balancer,cheetah,high-speed,connection consistency,pcc,p4,fastclick,location-based service,pseudonymous authentication,security and privacy,authentication,data privacy,encoding (symbols),error analysis,knowledge based systems,location,mobile devices,telecommunication services,basic protocols,decentralized system,location privacy protection,privacy leakages,security enhancements,security threats,sensitive informations,location based services,vehicular communications,security,privacy,identity and credential management,vehicular pki
Chiesa, Marco;136;1410769,1374999;load-balancer,cheetah,high-speed,connection consistency,pcc,p4,fastclick,programmable networks,network robustness,fast reroute,fast failover,shortest common supersequence
Sandström, Jesper;137;926975,1228211;functional programming,reactive programming,software architecture,programming patterns,programming paradigms
Ohlsson, Jonathan;138;926975;
Brommund, Andreas;139;1107392;
Skeppstedt, David;140;1107392;
Jansson, Niclas;141;542114,618543,1559582,1504203;
Hoffman, Johan;142;542114,618543;
Farhadi, Adam;5432c13e-3096-4faa-bf26-2d4849c7719d;1618357;concurrent data structures,linked-lists,list-based sets,samverkande datastrukturer,länkade listor,listbaserade set
Holm, Hannes;42463b1e-358a-4cb3-814c-ce3394e3e317;651157,651164;invasive software (viruses,worms,trojan horses),risk management,network management,detection rates,false alarms,rule set,signature-based network intrusion detection systems,zero day attack,systems science
Kiaian Mousavy, Sayyed Ali;28aa0483-27b4-4d14-bddf-fc8527463de7;1471707;
Meinke, Karl;143;442572,442577,1349608;machine learning,software testing,model checking,software testing,model checking,term rewriting,symbolic computation,machine learning,vehicle platoon,learning-based testing,co-cps,safety boundaries,quantitative analysis,coordinated braking
Niu, Fei;144;442572,445529,442577;machine learning,software testing,model checking,testing,machine learning,symbolic constraint solving,model checking,software testing,model checking,term rewriting,symbolic computation,machine learning
Royer, Corentin;bed050fe-b720-4008-b2a9-255cd211dda2;1799726;deep learning,entity retrieval,mixer,transformer
Balliu, Musard;1383;675561,1515038,1823042;possibilistic information flow,logic of knowledge,languagebased security,verification,sbom,software supply chain
Olofsson, Nina;145;861979,1118767;dialogue act,dialogue act classification,furhat,furhat robotics,classification,j48,machine learning,weka,robotics,education robots,swot,market segmentation,talhandlingar,klassificering,maskininlärning,robotik,utbildningsrobotar,marknadssegmentering,machine learning,ensemble,random forest,churn prediction,lime,interpretability,crm,local explanations
Fakih, Nivin;146;861979;dialogue act,dialogue act classification,furhat,furhat robotics,classification,j48,machine learning,weka,robotics,education robots,swot,market segmentation,talhandlingar,klassificering,maskininlärning,robotik,utbildningsrobotar,marknadssegmentering
Lin, Xinyi;e42320e5-3ec8-4450-99d2-4c5140860a02;1143919;machine learning,wireless communication,link to system mapping
Baskin, Fedor;147;1911800;fetal acidosis,magnetic induction,spectroscopy,gradiometer coil,fetal acidos,magnetisk induktion,spektroskopi,gradiometer spole
Scott-Robbert, Emil;148;1911800;fetal acidosis,magnetic induction,spectroscopy,gradiometer coil,fetal acidos,magnetisk induktion,spektroskopi,gradiometer spole
Tengvall, Tove;edea4ab4-8edb-44e5-bc4a-fdb71827f820;1501493;
Gren, Olaf;149;1464550;
Magnusson, Dennis;150;1464550;
Gidofalvi, Gyözö;581;500522,1908969,1912236,804946,804991,916117,794679,1414166;charging infrastructure planning,deep uncertainties,dynamic adaptive planning,route-based network effects,spatial decisions support,cluster,location-based social networks,temporal scale,user similarity,spatio-temporal data mining,congestion prediction,lbs,intelligent transport systems,continuous model evaluation,transportation mode segmentation and detection,trajectory data mining,error analysis,interval algebra,battery conscious,data collection,location and accelerometer data fusion,location awareness,location tracking,movement,smartphones
Jacquier, Moric;9c8be9fd-7c54-4e41-9ca2-e0a1e4ac5573;1647521;
Hallström, Eric;151;1106455;scheduling
Hellstenius, Sasha;152;1106455,1215272;scheduling,recurrent neural networks,lstm,patient volume prediction,digital healthcare
Svantesson, David;153;927255,1220512;decision trees,streaming,gpu,hpc,spdt,streaming parallel decision trees,machine learning
Eklund, Martin;154;927255,1228278;feature extraction multilabel classification glove tfidf
WEJÉUS, SAMUEL;a4afb625-8913-43f0-83c8-39ee7e6a5c48;753279;
Eriksson, Peter;a4de2c12-6e43-4fa0-b83f-3952d91f7b5a;824488;enterprise,application,architecture,database,tier,serialization,gpu
Caputo, Barbara;1036;14490,335153;datalogi,datalogi,motion,local features,motion descriptors,matching,velocity adaptation,action recognition,learning,svm,human movement,representation,scale
Wang, Hao;da045a2d-c54c-4f4d-a3a6-ea01dac26b35;1156251;relu,feedforward neural network,elm
Koepp, Wiebke;7aa2bcdf-3832-4809-aaa8-dd45741f3a07;913911;machine learning,neural networks,transfer functions
Iakymchuk, Roman;155;931822;allscale environment,particle-in-cell method,task-based nested recursive parallelism,prec
Jordan, Herbert;156;931822;allscale environment,particle-in-cell method,task-based nested recursive parallelism,prec
Peng, Ivy Bo;157;931822,1237206,1160619;allscale environment,particle-in-cell method,task-based nested recursive parallelism,prec,tensorflow,hpc,gpu
Markidis, Stefano;158;931822,1237206,1559582;allscale environment,particle-in-cell method,task-based nested recursive parallelism,prec,tensorflow,hpc,gpu
Laure, Erwin;159;931822,1237206,461904;allscale environment,particle-in-cell method,task-based nested recursive parallelism,prec,tensorflow,hpc,gpu,chemistry,image color analysis,libraries,measurement,optimization,quantum mechanics,wave functions
Turpeinen, Max;82030868-e7ce-4095-a49e-dd36b09b5729;1467022;
Vilhelmsson, Isak;7eba59ad-7850-4e76-98f0-0c62702ce1fd;1605998;node.js,apache,iis,go,web server,mysql,node.js,apache,iis,go,webbserver,mysql
