"PID","Title","Keywords","Content"
"1589979","A Cloud-native Vehicular Public Key Infrastructure : Towards a Highly-available and Dynamically- scalable VPKIaaS (En cloud-native public key infrastruktur för fordon : För ett VPKI med hög tillgänglihhet och dynamisk skalbarhet)","['security', 'privacy', 'vehicular pki', 'vpki', 'identity and credential management', 'vehicular communications', 'vanets', 'availability', 'scalability', 'resilient', 'efficiency', 'microservice', 'container orchestration', 'cloud', 'pseudonym transition', 'pseudonym unlinkability.', 'effektivitet', 'moln', 'pseudonymitet', 'anonymitet']","
efforts towards standardization of vehicular communication systems (vcss) have been conclusive on the use of vehicular public-key infrastructure (vpki) for the establishment of trust among network participants. employing vpki in vehicular communication (vc) guarantees the integrity and authenticity of cooperative awareness messages (cams) and decentralized environmental notification messages (denms). it also offers a level of privacy for vehicles as vpki provides them with a set of non-linkable short-lived certificates, called pseudonyms, which are used to sign outgoing messages by vehicles while they communicate with other vehicles referred to as vehicle-to-vehicle (v2v) or roadside units (rsus) referred to as vehicle-to-infrastructure (v2i). each vehicle uses a pseudonym for its lifetime and by switching to a not- previously- used pseudonym, it continues to communicate without risking its privacy. there have been two approaches suggested by the literature on how to provide vehicles with pseudonyms. one is the so-called pre-loading mode, suggesting to pre-load vehicles with all pseudonyms they need, which increases the cost of revocation in case they are compromised. the other one is the on-demand mode, suggesting a real-time offering of pseudonyms by vpki at vehicles request e.g., on starting each trip. choosing the on-demand approach imposes a considerable burden of availability and resilience on vpki services. in this work, we are confronting the problems regarding a large-scale deployment of an on-demand vpki that is resilient, highly available, and dynamically scalable. in order to achieve that, by leveraging state-of-the-art tools and design paradigms, we have enhanced a vpki system to ensure that it is capable of meeting enterprise-grade service level agreement (sla) in terms of availability, and it can also be cost-efficient as services can dynamically scale-out in the presence of high load, or possibly scale-in when facing less demand. that has been made possible by re-architecting and refactoring an existing vpki into a cloud-native solution deployed as microservices. towards having a reliable architecture based on distributed microservices, one of the key challenges to deal with is sybil-based misbehavior. by exploiting sybil-based attacks in vpki, malicious vehicles can gain influential advantage in the system, e.g., one can affect the traffic to serve its own will. therefore, preventing the occurrence of sybil attacks is paramount. on the other hand, traditional approaches to stop them, often come with a performance penalty as they verify requests against a relational database which is a bottleneck of the operations. we propose a solution to address sybil-based attacks, utilizing redis, an in-memory data store, without compromising the system efficiency and performance considerably. running our vpki services on google cloud platform (gcp) shows that a large-scale deployment of vpki as a service (vpkiaas) can be done efficiently. conducting various stress tests against the services indicates that the vpkiaas is capable of serving real world traffic. we have tested vpkiaas under synthetically generated normal traffic flow and flash crowd scenarios. it has been shown that vpkiaas managed to issue 100 pseudonyms per request, submitted by 1000 vehicles where vehicles kept asking for a new set of pseudonyms every 1 to 5 seconds. each vehicle has been served in less than 77 milliseconds. we also demonstrate that, under a flash crowd situation, with 50000 vehicles, vpkiaas dynamically scales out, and takes ≈192 milliseconds to serve 100 pseudonyms per request submitted by vehicles. 

"
"1500722","A compact language model for Swedish text anonymization (En kompakt språkmodell för svensk textanonymisering.)","[]","
the general data protection regulation (gdpr) that came into effect in 2018 states that for personal information to be freely used for research and statistics it needs to be anonymized first. to properly anonymize a text one needs to identify thewords that carry personally identifying information such as names, locations and organizations. named entity recognition (ner) is the task of detecting these kinds of words and in the last decade a lot of progress has been made on it. this progress can be largely attributed to machine learning, in particular the development of language models that are trained on vast amounts of textual data in the target language. these models are powerful but very computationally demanding to run, limiting their accessibility. albert is a recently developed language model that manages to provide almost the same level of performance at only a fraction of the size. in this thesis we explore the use of albert as a component in swedish anonymization by combining the model with a one-layer bilstm classifier and testing it on the stockholm-umeå corpus. the results show that the system can separate personally identifying words from ordinary words 79.4% of the time and that the model performs the best when it comes to detecting names, with a f1-score of 87.7 percent. looking at the average performance across eight categories we obtain a f1-score of 77.8% with five-fold cross-validation and 77.0 _ 0.2% on the test set with 95% confidence. we find that the system as-is could be used for the anonymization of some types of information, but would perhaps be better suited as an aid for a human controller. we discuss ways to enhance the performance of the system and conclude that albert can be a useful component in swedish anonymization, provided that it is optimized further.

"
"810264","A comparative analysis of a Tabu Search and a Genetic Algorithm for solving a University Course Timetabling Problem","[]","
This work implements a Tabu search (TS) algorithm for solving an instance of the University Course Timetabling Problem (UCTP). The algorithm is com- pared to a Genetic algorithm (GA) implemented by Yamazaki and Pertoft (2014) that solves the same instance. The purpose of the work is to explore how the approaches dier for this particular instance, and specifically inves- tigate whether a TS algorithm alone is sucient, considering the small size of the UCTP instance. The TS was based on the OpenTS library (Harder, 2001) and reuses parts from Yamazaki and Pertoft’s (2014) GA. The results show that the TS alone is too slow. Even in a small instance of the UCTP, the search space is too big for the TS to be fast. This confirms the state of the art, that a combination of TS and GA would perform better than either of them individually. Further improvements on the TS would involve reducing the number of moves generated each iteration.

"
"1597519","A Comparative Analysis of Robustness to Noise in Machine Learning Classifiers (En jämförande studie av klassificeringsalgoritmers robusthet)","[]","
data that stems from real measurements often to some degree contain distortions. such distortions are generally referred to as noise in machine learning terminology, and can lead to decreased classification accuracy and poor prediction results. in this study, three machine learning classifiers were compared by their performance and robustness in the presence of noise. more specifically, random forests, support vector machines and artificial neural networks were trained and compared on four different data sets with varying levels of noise artificially added to them. in summary, the random forest classifier performed the best and was the most robust classifier at eight out of ten of noise levels, closely followed by the artificial neural network classifier. at the two remaining noise levels, the support vector machine classifier with a linear kernel performed the best and was the most robust classifier. 

"
"1599687","A Comparative Analysis on Formative vs Summative Assessment in Remote Education Caused by the COVID-19 Pandemic (En jämförande analys av formativ kontra- summativ bedömning i distansutbilningen orsakad av COVID-19-pandemin)","[]","
due to the covid-19 pandemic, educational institutions around the globe had to switch to distance education. the purpose of this study was to investigate whether there were any notable differences in grades received by first-year computer science students at kth who had online education vs those from previous years who did the same courses on campus. specifically, the study looked at one course which used formative assessment, a programming course and one course which used summative assessment, a mathematics course. the analysis was done by gathering data from course results from the students assessed during the pandemic and comparing it to the average results received by students pre-pandemic using pearson’s chi-square analysis. the results showed there were no notable differences for the formative course and that the students had performed as expected. however, the results for the summative course were a lot lower than those expected. one factor that could have affected this result was how the structure of the seminaries and bonus points for the exam had been changed for remote education. another factor was demonstrated by a previous study about computer science students at kths experiences with the distance education performed by phd student emma riese. she found out that a majority of students felt that the pandemic had a negative effect on their studies. factors such as finding the general quality of education having declined, combined with a lack of motivation and self-discipline, could also play a part. however, limited data resulting in some assumptions having to be drawn combined with a limited span of courses and students included in the analysis makes it hard to draw any factual conclusions. further research is needed to address the weaknesses of the study. 

"
"813863","A Comparative Evaluation of Metaheuristic Approaches to the Problem of Curriculum-Based Course Timetabling","[]","
timetabling is an active area of research and used in a wide range of applications. as the development of most of these applications is on its way towards automation, the need for automated timetabling increases. despite many years of research and development of automated approaches, solving np-hard problems such as timetabling problems remains a challenge. metaheuristic-based approaches to these problems are constantly being refined and further developed as the complexity of these applications increases. but despite the increase in complexity, the time it takes for these algorithms to solve these problems is constantly being challenged.


while this thesis covers the fundamentals in metaheuristic approaches to the problem of timetabling, its main focus is to compare how two known metaheuristic algorithms, tabu searchand simulated annealing, perform across different scales of resources that are to be scheduled. to attempt fairness, similar implementations of these two algorithms were made in order to eliminate systematic biases. for each set of resources the algorithms solves a timetabling problem under a limited amount of time and computational capacity. the collective quality of all the produced timetables were compared. the results show that simulated annealing perform slightly better in the majority of the instances but with little margin for the collective quality of all tables. despite trying to set a common ground for the these similar metaheuristic approaches, the underlying difficulties in comparing algorithms are discussed.

"
"1465807","A Comparative Evaluation Of Semi-supervised Anomaly Detection Techniques (En jämförande utvärdering av semi-övervakade tekniker för identifiering av uteliggande datapunkter)","[]","
as we are entering the information age and the amount of data is rapidly increasing, the task of detecting anomalies has become a necessity in many organizations as anomalies often reveal useful information which in many cases can be critical to save lives or to catch imposters. the semi-supervised approach to anomaly detection which is based on the fact that the user has no information about anomalies has become widely popular since it’s easier to model the normal state of systems than to obtain information about every anomalous behavior. therefore, in this study we choose to conduct a comparative evaluation of the semi-supervised anomaly detection techniques"
"929059","A comparative study between a simulated annealing and a genetic algorithm for solving a university timetabling problem (En jämförande studie mellan en algoritm baserad på simulerad glödgning och en genetisk algoritm för att lösa ett universitetsschemaläggningsproblem)","['simulated annealing', 'genetic algorithm', 'university timetabling problem']","
the university timetabling problem is an np-complete problem which schools all over the world face every semester. the aim of the problem is to schedule sets of events such as lectures and seminars into certain time slots without violating numerous specified constraints. this study aimed to automate this process with the help of simulated annealing and compare the results with a genetic algorithm. the input data sets were inspired by the royal institute of technology in stockholm. the results showed a great run time difference between the two algorithms where the simulated annealing performed much better. they also showed that even though the simulated annealing algorithm was better during all stages, the genetic algorithm had a much better performance in early stages than it had in latter. this led to the conclusion that a more optimized, hybrid algorithm could be created from the two algorithms provided that the genetic algorithm could benefit from the improvements suggested in previous research.

"
"1214312","A comparative study between algorithms solving Ants Nearby Treasure Search problem for multiple treasures (En jämförelse mellan algoritmer som löser Ants Nearby Treasure Search för flera skatter)","[]","
there is a need for fast and resource effective algorithms that can find people in need. this can be achieved using bio-inspired autonomous agents. one problem that is similar to the one of a rescue mission is ants nearby treasure search (ants). in this problem, a number of ants work together towards a common goal on a grid, for example finding a treasure. to make the problem more similar to a rescue mission, it is expanded to include multiple treasures. we name this problem ants nearby treasures search (antss). antss is solved using parallel diamond search algorithm. we propose an addition to this solution. by changing the search origin we see if our algorithm performs better, mostly in cases where treasures are grouped up. results show how changing the origin has a significant advantage in cases were treasures are grouped up. however, there is also huge disadvantages in general test cases.

"
"1212779","A Comparative Study between Genetic Algorithm, Simulated Annealing and a Hybrid Algorithm for solving a University Course Timetabling Problem (En jämförande studie mellan Genetisk algoritm, Simulerad glödgning och en hybrid algoritm för att lösa ett universitetsschemaläggningsproblem)","[]","
every year, universities are faced with the problem of having to schedule events to various resources such as lecturers, classrooms and time slots while considering different constraints. the university course timetabling problem is a np-complete combinatorial optimization problem that, if solved manually, requires great investment in time and money. thus finding an algorithm that automates this process would prove beneficial for society.


the aim of this thesis is to compare the performance of a genetic algorithm-simulated annealing hybrid implementation with the performance of each of the algorithms individually for solving the university course timetabling problem. the data sets used were inspired by the royal institute of technology in stockholm. the results showed that simulated annealing performed better than the other two algorithms, with respect to time consumption. however, the hybrid algorithm showed great promise of actually producing a feasible solution before terminating as the complexity of the problem increased, for example in the biggest data set tested.

"
